eregistry_key,irn,Levels,Key1,Key2,Key3,Key4,Key5,Key6,Key7,Key8,Key9,Key10,Value,SummaryData,AdmImportIdentifier,AdmInsertedBy,AdmDateInserted,AdmTimeInserted,AdmDateModified,AdmTimeModified,AdmModifiedBy,OwnerId,AdmPublishWebNoPassword,AdmPublishWebPassword,SecRecordStatus,AdmSystemIdentifier
1233,2102,6,"Group","Default","Table","erights","Column Access","AdmOriginalData","","","","","dvQuery;duQuery;dvDisplay;dvEdit;dvInsert","Group|Default|Table|erights|Column Access|AdmOriginalData|dvQuery;duQuery;dvDisplay;dvEdit;dvInsert","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1234,2103,5,"Group","Default","Table","erights","Ditto Skip Columns","","","","","","RigNumber;AdmDateInserted;AdmDateModified;AdmInsertedBy;AdmModifiedBy;AdmTimeInserted;AdmTimeModified;","Group|Default|Table|erights|Ditto Skip Columns|RigNumber;AdmDateInserted;AdmDateModified;AdmInsertedBy;AdmModifiedBy;AdmTimeInserted;AdmTimeModified;","","emu",2018-01-16,"21:18:02",2018-12-05,"15:23:38","Sam Schiller","emu","","","",""
1235,2104,6,"Group","Default","Table","erights","List Columns","Default List","","","","","RigType=200;RigOwnershipRef_tab=200;RigPermitNumber=200","Group|Default|Table|erights|List Columns|Default List|RigType=200;RigOwnershipRef_tab=200;RigPermitNumber=200","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1236,2105,6,"Group","Default","Table","erights","Report","List (A4)","","","","","Crystal#!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigType##0#ListA4.rpt#","Group|Default|Table|erights|Report|List (A4)|Crystal#!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigType##0#ListA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1237,2106,6,"Group","Default","Table","erights","Report","List (Letter)","","","","","Crystal#!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigType##0#ListLetter.rpt#","Group|Default|Table|erights|Report|List (Letter)|Crystal#!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigType##0#ListLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1238,2107,6,"Group","Default","Table","erights","Report","Reproductions (A4)","","","","","Crystal#irn;Reproductions=[CopAcceptedRejected_tab,!CopDateReproduced0,CopFee_tab,CopReasonReproduction_tab,CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData]##0#ReproductionsA4.rpt#","Group|Default|Table|erights|Report|Reproductions (A4)|Crystal#irn;Reproductions=[CopAcceptedRejected_tab,!CopDateReproduced0,CopFee_tab,CopReasonReproduction_tab,CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData]##0#ReproductionsA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1239,2108,6,"Group","Default","Table","erights","Report","Reproductions (Letter)","","","","","Crystal#irn;Reproductions=[CopAcceptedRejected_tab,!CopDateReproduced0,CopFee_tab,CopReasonReproduction_tab,CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData]##0#ReproductionsLetter.rpt#","Group|Default|Table|erights|Report|Reproductions (Letter)|Crystal#irn;Reproductions=[CopAcceptedRejected_tab,!CopDateReproduced0,CopFee_tab,CopReasonReproduction_tab,CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData]##0#ReproductionsLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1240,2109,6,"Group","Default","Table","erights","Report","Summary (A4)","","","","","Crystal#RigAcknowledgement;!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigPermitNumber;RigRequiresAcknowledgement;SummaryData;RigType;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigManagersRef_tab.eparties.Managers=SummaryData;RigNumber;RigStatus##0#SummaryA4.rpt#","Group|Default|Table|erights|Report|Summary (A4)|Crystal#RigAcknowledgement;!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigPermitNumber;RigRequiresAcknowledgement;SummaryData;RigType;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigManagersRef_tab.eparties.Managers=SummaryData;RigNumber;RigStatus##0#SummaryA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1241,2110,6,"Group","Default","Table","erights","Report","Summary (Letter)","","","","","Crystal#RigAcknowledgement;!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigPermitNumber;RigRequiresAcknowledgement;SummaryData;RigType;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigManagersRef_tab.eparties.Managers=SummaryData;RigNumber;RigStatus##0#SummaryLetter.rpt#","Group|Default|Table|erights|Report|Summary (Letter)|Crystal#RigAcknowledgement;!RigCommencementDate;RigConditions;!RigExpiryDate;irn;RigPermitNumber;RigRequiresAcknowledgement;SummaryData;RigType;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigManagersRef_tab.eparties.Managers=SummaryData;RigNumber;RigStatus##0#SummaryLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1242,2111,6,"Group","Default","Table","erights","Report","Tasks (A4)","","","","","Crystal#irn;Tasks=[!TasCommencementDate0,!TasCompletionDate0,TasCompleted_tab,TasDescription_tab,TasPersonAssignedToRef_nesttab&TasPersonAssignedToRef_tab.eparties.SummaryData,TasResults_tab]##0#TasksA4.rpt#","Group|Default|Table|erights|Report|Tasks (A4)|Crystal#irn;Tasks=[!TasCommencementDate0,!TasCompletionDate0,TasCompleted_tab,TasDescription_tab,TasPersonAssignedToRef_nesttab&TasPersonAssignedToRef_tab.eparties.SummaryData,TasResults_tab]##0#TasksA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1243,2112,6,"Group","Default","Table","erights","Report","Tasks (Letter)","","","","","Crystal#irn;Tasks=[!TasCommencementDate0,!TasCompletionDate0,TasCompleted_tab,TasDescription_tab,TasPersonAssignedToRef_nesttab&TasPersonAssignedToRef_tab.eparties.SummaryData,TasResults_tab]##0#TasksLetter.rpt#","Group|Default|Table|erights|Report|Tasks (Letter)|Crystal#irn;Tasks=[!TasCommencementDate0,!TasCompletionDate0,TasCompleted_tab,TasDescription_tab,TasPersonAssignedToRef_nesttab&TasPersonAssignedToRef_tab.eparties.SummaryData,TasResults_tab]##0#TasksLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1244,2113,6,"Group","Default","Table","erights","Report","Worksheet (A4)","","","","","Crystal#RigAcknowledgement;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Category=[CopCategory_tab,!CopExpiryDate0];!RigCommencementDate;RigConditions;!AdmDateInserted;!AdmDateModified;!RigExpiryDate;AdmInsertedBy;irn;RigManagersRef_tab.eparties.Managers=SummaryData;AdmModifiedBy;NotNotes;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigPermitNumber;Reproductions=[CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData,CopFee_tab];CopReproductionFees_tab;RigRequiresAcknowledgement;RigStatus;AdmTimeInserted;AdmTimeModified;RigType;Tasks=[TasDescription_tab,TasCompleted_tab];!PerDateIssued;!PerDateReceived;!PerDateRequested;PerIssuedByRef.eparties.IssuedBy=SummaryData;PerPermissionType;PerPermitReceived;Reporting=[PerReportDescription_tab,!PerDateReported0];PerReportDetails;PerReportToRef.eparties.ReportTo=SummaryData;PerRequestedByRef_tab.eparties.RequestedBy=SummaryData;RigNumber;RigOtherNumber;SitAuthorisedArea;SitAuthorisedCollectorsRef_tab.eparties.AuthorisedCollectors=SummaryData;SitProhibitedAreas##0#WorksheetA4.rpt#","Group|Default|Table|erights|Report|Worksheet (A4)|Crystal#RigAcknowledgement;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Category=[CopCategory_tab,!CopExpiryDate0];!RigCommencementDate;RigConditions;!AdmDateInserted;!AdmDateModified;!RigExpiryDate;AdmInsertedBy;irn;RigManagersRef_tab.eparties.Managers=SummaryData;AdmModifiedBy;NotNotes;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigPermitNumber;Reproductions=[CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData,CopFee_tab];CopReproductionFees_tab;RigRequiresAcknowledgement;RigStatus;AdmTimeInserted;AdmTimeModified;RigType;Tasks=[TasDescription_tab,TasCompleted_tab];!PerDateIssued;!PerDateReceived;!PerDateRequested;PerIssuedByRef.eparties.IssuedBy=SummaryData;PerPermissionType;PerPermitReceived;Reporting=[PerReportDescription_tab,!PerDateReported0];PerReportDetails;PerReportToRef.eparties.ReportTo=SummaryData;PerRequestedByRef_tab.eparties.RequestedBy=SummaryData;RigNumber;RigOtherNumber;SitAuthorisedArea;SitAuthorisedCollectorsRef_tab.eparties.AuthorisedCollectors=SummaryData;SitProhibitedAreas##0#WorksheetA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1245,2114,6,"Group","Default","Table","erights","Report","Worksheet (Letter)","","","","","Crystal#RigAcknowledgement;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Category=[CopCategory_tab,!CopExpiryDate0];!RigCommencementDate;RigConditions;!AdmDateInserted;!AdmDateModified;!RigExpiryDate;AdmInsertedBy;irn;RigManagersRef_tab.eparties.Managers=SummaryData;AdmModifiedBy;NotNotes;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigPermitNumber;Reproductions=[CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData,CopFee_tab];CopReproductionFees_tab;RigRequiresAcknowledgement;RigStatus;AdmTimeInserted;AdmTimeModified;RigType;Tasks=[TasDescription_tab,TasCompleted_tab];!PerDateIssued;!PerDateReceived;!PerDateRequested;PerIssuedByRef.eparties.IssuedBy=SummaryData;PerPermissionType;PerPermitReceived;Reporting=[PerReportDescription_tab,!PerDateReported0];PerReportDetails;PerReportToRef.eparties.ReportTo=SummaryData;PerRequestedByRef_tab.eparties.RequestedBy=SummaryData;RigNumber;RigOtherNumber;SitAuthorisedArea;SitAuthorisedCollectorsRef_tab.eparties.AuthorisedCollectors=SummaryData;SitProhibitedAreas##0#WorksheetLetter.rpt#","Group|Default|Table|erights|Report|Worksheet (Letter)|Crystal#RigAcknowledgement;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Category=[CopCategory_tab,!CopExpiryDate0];!RigCommencementDate;RigConditions;!AdmDateInserted;!AdmDateModified;!RigExpiryDate;AdmInsertedBy;irn;RigManagersRef_tab.eparties.Managers=SummaryData;AdmModifiedBy;NotNotes;RigOwnershipRef_tab.eparties.Owners=SummaryData;RigPermitNumber;Reproductions=[CopReproducedByRef_tab.eparties.ReproducedBy=SummaryData,CopFee_tab];CopReproductionFees_tab;RigRequiresAcknowledgement;RigStatus;AdmTimeInserted;AdmTimeModified;RigType;Tasks=[TasDescription_tab,TasCompleted_tab];!PerDateIssued;!PerDateReceived;!PerDateRequested;PerIssuedByRef.eparties.IssuedBy=SummaryData;PerPermissionType;PerPermitReceived;Reporting=[PerReportDescription_tab,!PerDateReported0];PerReportDetails;PerReportToRef.eparties.ReportTo=SummaryData;PerRequestedByRef_tab.eparties.RequestedBy=SummaryData;RigNumber;RigOtherNumber;SitAuthorisedArea;SitAuthorisedCollectorsRef_tab.eparties.AuthorisedCollectors=SummaryData;SitProhibitedAreas##0#WorksheetLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1246,2115,6,"Group","Default","Table","erights","Sort","Internal Record Number","","","","","+irn","Group|Default|Table|erights|Sort|Internal Record Number|+irn","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1247,2116,6,"Group","Default","Table","eschedule","Report","List (A4)","","","","","Crystal#irn;Name;Module;Filter;CommencementDate;CompletionDate#Name;--wordbased#-1#ListA4.rpt#","Group|Default|Table|eschedule|Report|List (A4)|Crystal#irn;Name;Module;Filter;CommencementDate;CompletionDate#Name;--wordbased#-1#ListA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1248,2117,6,"Group","Default","Table","eschedule","Report","List (Letter)","","","","","Crystal#irn;Name;Module;Filter;CommencementDate;CompletionDate#Name;--wordbased#-1#ListLetter.rpt#","Group|Default|Table|eschedule|Report|List (Letter)|Crystal#irn;Name;Module;Filter;CommencementDate;CompletionDate#Name;--wordbased#-1#ListLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1249,2118,6,"Group","Default","Table","eschedule","Report","Summary (A4)","","","","","Crystal#Name;Module;Filter;CommencementDate;CompletionDate;Frequency;irn;SummaryData;Exports=eexports:ScheduleRef.SummaryData##-1#SummaryA4.rpt#","Group|Default|Table|eschedule|Report|Summary (A4)|Crystal#Name;Module;Filter;CommencementDate;CompletionDate;Frequency;irn;SummaryData;Exports=eexports:ScheduleRef.SummaryData##-1#SummaryA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1250,2119,6,"Group","Default","Table","eschedule","Report","Summary (Letter)","","","","","Crystal#Name;Module;Filter;CommencementDate;CompletionDate;Frequency;irn;SummaryData;Exports=eexports:ScheduleRef.SummaryData##-1#SummaryLetter.rpt#","Group|Default|Table|eschedule|Report|Summary (Letter)|Crystal#Name;Module;Filter;CommencementDate;CompletionDate;Frequency;irn;SummaryData;Exports=eexports:ScheduleRef.SummaryData##-1#SummaryLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1251,2120,6,"Group","Default","Table","eschedule","Report","WorkSheet (A4)","","","","","Crystal#AdmDateInserted;AdmDateModified;AdmInsertedBy;AdmModifiedBy;AdmTimeInserted;AdmTimeModified;CommencementDate;CompletionDate;Conditions;Module;DayOfInterval;DaysToRunOn;Definition;Filter;FirstWeekdayOfInterval;Frequency;IntervalSchedule;irn;MonthOfYear;Name;NotNotes;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Exports=eexports:ScheduleRef.SummaryData=SummaryData;AfterCommand;Parameters_tab##-1#WorksheetA4.rpt#","Group|Default|Table|eschedule|Report|WorkSheet (A4)|Crystal#AdmDateInserted;AdmDateModified;AdmInsertedBy;AdmModifiedBy;AdmTimeInserted;AdmTimeModified;CommencementDate;CompletionDate;Conditions;Module;DayOfInterval;DaysToRunOn;Definition;Filter;FirstWeekdayOfInterval;Frequency;IntervalSchedule;irn;MonthOfYear;Name;NotNotes;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Exports=eexports:ScheduleRef.SummaryData=SummaryData;AfterCommand;Parameters_tab##-1#WorksheetA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1252,2121,6,"Group","Default","Table","eschedule","Report","WorkSheet (Letter)","","","","","Crystal#AdmDateInserted;AdmDateModified;AdmInsertedBy;AdmModifiedBy;AdmTimeInserted;AdmTimeModified;CommencementDate;CompletionDate;Conditions;Module;DayOfInterval;DaysToRunOn;Definition;Filter;FirstWeekdayOfInterval;Frequency;IntervalSchedule;irn;MonthOfYear;Name;NotNotes;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Exports=eexports:ScheduleRef.SummaryData=SummaryData;AfterCommand;Parameters_tab##-1#WorksheetLetter.rpt#","Group|Default|Table|eschedule|Report|WorkSheet (Letter)|Crystal#AdmDateInserted;AdmDateModified;AdmInsertedBy;AdmModifiedBy;AdmTimeInserted;AdmTimeModified;CommencementDate;CompletionDate;Conditions;Module;DayOfInterval;DaysToRunOn;Definition;Filter;FirstWeekdayOfInterval;Frequency;IntervalSchedule;irn;MonthOfYear;Name;NotNotes;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;Exports=eexports:ScheduleRef.SummaryData=SummaryData;AfterCommand;Parameters_tab##-1#WorksheetLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1253,2122,6,"Group","Default","Table","esites","Report","List (A4)","","","","","Crystal#irn;SitSiteName_tab;SitRecordClassification;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;LocPreciseLocation##0#ListA4.rpt#","Group|Default|Table|esites|Report|List (A4)|Crystal#irn;SitSiteName_tab;SitRecordClassification;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;LocPreciseLocation##0#ListA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1254,2123,6,"Group","Default","Table","esites","Report","List (Letter)","","","","","Crystal#irn;SitSiteName_tab;SitRecordClassification;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;LocPreciseLocation##0#ListLetter.rpt#","Group|Default|Table|esites|Report|List (Letter)|Crystal#irn;SitSiteName_tab;SitRecordClassification;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;LocPreciseLocation##0#ListLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1255,2124,6,"Group","Default","Table","esites","Report","Summary (A4)","","","","","Crystal#SitRecordClassification;SitSiteNumber;@SitSiteName_tab;SitSiteOwnerRef_tab.eparties.SiteOwner=SummaryData;SitJurisdiction;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;MapCentroidUTM;@LocOcean_tab;@LocCountry_tab;@LocProvinceStateTerritory_tab;@LocDistrictCountyShire_tab;@LocTownship_tab;@LocNearestNamedPlace_tab;@LocSpecialGeographicUnit_tab;LocPreciseLocation;irn;SummaryData##0#SummaryA4.rpt#","Group|Default|Table|esites|Report|Summary (A4)|Crystal#SitRecordClassification;SitSiteNumber;@SitSiteName_tab;SitSiteOwnerRef_tab.eparties.SiteOwner=SummaryData;SitJurisdiction;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;MapCentroidUTM;@LocOcean_tab;@LocCountry_tab;@LocProvinceStateTerritory_tab;@LocDistrictCountyShire_tab;@LocTownship_tab;@LocNearestNamedPlace_tab;@LocSpecialGeographicUnit_tab;LocPreciseLocation;irn;SummaryData##0#SummaryA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1256,2125,6,"Group","Default","Table","esites","Report","Summary (Letter)","","","","","Crystal#SitRecordClassification;SitSiteNumber;@SitSiteName_tab;SitSiteOwnerRef_tab.eparties.SiteOwner=SummaryData;SitJurisdiction;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;MapCentroidUTM;@LocOcean_tab;@LocCountry_tab;@LocProvinceStateTerritory_tab;@LocDistrictCountyShire_tab;@LocTownship_tab;@LocNearestNamedPlace_tab;@LocSpecialGeographicUnit_tab;LocPreciseLocation;irn;SummaryData##0#SummaryLetter.rpt#","Group|Default|Table|esites|Report|Summary (Letter)|Crystal#SitRecordClassification;SitSiteNumber;@SitSiteName_tab;SitSiteOwnerRef_tab.eparties.SiteOwner=SummaryData;SitJurisdiction;LatPreferredCentroidLatitude;LatPreferredCentroidLongitude;MapCentroidUTM;@LocOcean_tab;@LocCountry_tab;@LocProvinceStateTerritory_tab;@LocDistrictCountyShire_tab;@LocTownship_tab;@LocNearestNamedPlace_tab;@LocSpecialGeographicUnit_tab;LocPreciseLocation;irn;SummaryData##0#SummaryLetter.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
1257,2126,6,"Group","Default","Table","esites","Report","Worksheet (A4)","","","","","Crystal#!EraDepthFromFt;!EraDepthToFt;!LocElevationASLFromFt;!LocElevationASLToFt;!LocElevationFromFt;!LocElevationToFt;@MapAerialReference_tab;EraAge1;EraAge2;TerAspect;SitBibliographicRef_tab.ebibliography.Bibliography=SummaryData;@EraBiozone_tab;MapCentroidUTM;@LocCountry_tab;@CulCulturalAffiliations_tab;CulCulturalRegion;EraDepthDeterminationMethod;MapDetermination;MapUTMDetermination;@LocDistrictCountyShire_tab;AquDrainageCode;AquDrainageDivision;MapCoordinates=[MapEasting0,MapNorthing0];TerEcologicalZone;EraEra;!EraDepthFromMt;!LocElevationASLFromMt;!LocElevationFromMt;@AquHabitat_tab;AdmInsertedBy;AdmDateInserted;AdmTimeInserted;irn;SitJurisdiction;@CulLanguageGroup_tab;Latitude=[@LatLatitude_nesttab&LatLatitude0,@LatLatitudeDecimal_nesttab&LatLatitudeDecimal_tab,@LatLatitudeVerbatim_nesttab&LatLatitudeVerbatim_tab,@LatLongitude_nesttab&LatLongitude0,@LatLongitudeDecimal_nesttab&LatLongitudeDecimal_tab,@LatLongitudeVerbatim_nesttab&LatLongitudeVerbatim_tab,@LatModifier_nesttab&LatModifier_tab,@LatComment_nesttab&LatComment_tab,LatRadiusVerbatim_tab,LatRadiusUnit_tab,LatRadiusProbability_tab,LatRadiusNumeric_tab,LatPreferred_tab,LatLatLongDetermination_tab,LatGeoreferencingNotes0,LatGeometry_tab,LatDetSource_tab,LatDeterminedByRef_tab.eparties.LatDeterminedBy=SummaryData,LatDetDate0,LatDeriveCentroid_tab,LatDatum_tab,LatCentroidLatitude0,!LatCentroidLatitudeDec_tab,LatCentroidLongitude0,!LatCentroidLongitudeDec_tab];MapNumber;@EraLithology_tab;AdmDateModified;LocDeterminationMethod;LocDeterminationMethodASL;AdmTimeModified;AdmModifiedBy;MapName;@LocNearestNamedPlace_tab;NotNotes;@CulOccupationPeriod_tab;@LocOcean_tab;LocPreciseLocation;@LocProvinceStateTerritory_tab;SitRecordClassification;LocReferencePoint;AquRiverBasin;AquRiverCode;MapScale;@CulScientificDates_tab;@EraSedimentaryBasin_tab;@CulSiteClassification_tab;TerSiteCondition;EraSiteDescription;@CulSiteFeatures_tab;@SitSiteName_tab;SitSiteNumber;SitSiteOwnerRef_tab.eparties.Owner=SummaryData;LocSiteSize;@CulSiteType_tab;@TerSoilType_tab;@LocSpecialGeographicUnit_tab;@EraStratigraphicUnit_tab;@EraStructuralUnit_tab;@AquSubstrateType_tab;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;!EraDepthToMt;!LocElevationASLToMt;!LocElevationToMt;TerTopography;@LocContinent_tab;@LocTownship_tab;MapType;@MapUTM0;TerVegetation;TerSedimentType;AquBottomDescription##0#WorksheetA4.rpt#","Group|Default|Table|esites|Report|Worksheet (A4)|Crystal#!EraDepthFromFt;!EraDepthToFt;!LocElevationASLFromFt;!LocElevationASLToFt;!LocElevationFromFt;!LocElevationToFt;@MapAerialReference_tab;EraAge1;EraAge2;TerAspect;SitBibliographicRef_tab.ebibliography.Bibliography=SummaryData;@EraBiozone_tab;MapCentroidUTM;@LocCountry_tab;@CulCulturalAffiliations_tab;CulCulturalRegion;EraDepthDeterminationMethod;MapDetermination;MapUTMDetermination;@LocDistrictCountyShire_tab;AquDrainageCode;AquDrainageDivision;MapCoordinates=[MapEasting0,MapNorthing0];TerEcologicalZone;EraEra;!EraDepthFromMt;!LocElevationASLFromMt;!LocElevationFromMt;@AquHabitat_tab;AdmInsertedBy;AdmDateInserted;AdmTimeInserted;irn;SitJurisdiction;@CulLanguageGroup_tab;Latitude=[@LatLatitude_nesttab&LatLatitude0,@LatLatitudeDecimal_nesttab&LatLatitudeDecimal_tab,@LatLatitudeVerbatim_nesttab&LatLatitudeVerbatim_tab,@LatLongitude_nesttab&LatLongitude0,@LatLongitudeDecimal_nesttab&LatLongitudeDecimal_tab,@LatLongitudeVerbatim_nesttab&LatLongitudeVerbatim_tab,@LatModifier_nesttab&LatModifier_tab,@LatComment_nesttab&LatComment_tab,LatRadiusVerbatim_tab,LatRadiusUnit_tab,LatRadiusProbability_tab,LatRadiusNumeric_tab,LatPreferred_tab,LatLatLongDetermination_tab,LatGeoreferencingNotes0,LatGeometry_tab,LatDetSource_tab,LatDeterminedByRef_tab.eparties.LatDeterminedBy=SummaryData,LatDetDate0,LatDeriveCentroid_tab,LatDatum_tab,LatCentroidLatitude0,!LatCentroidLatitudeDec_tab,LatCentroidLongitude0,!LatCentroidLongitudeDec_tab];MapNumber;@EraLithology_tab;AdmDateModified;LocDeterminationMethod;LocDeterminationMethodASL;AdmTimeModified;AdmModifiedBy;MapName;@LocNearestNamedPlace_tab;NotNotes;@CulOccupationPeriod_tab;@LocOcean_tab;LocPreciseLocation;@LocProvinceStateTerritory_tab;SitRecordClassification;LocReferencePoint;AquRiverBasin;AquRiverCode;MapScale;@CulScientificDates_tab;@EraSedimentaryBasin_tab;@CulSiteClassification_tab;TerSiteCondition;EraSiteDescription;@CulSiteFeatures_tab;@SitSiteName_tab;SitSiteNumber;SitSiteOwnerRef_tab.eparties.Owner=SummaryData;LocSiteSize;@CulSiteType_tab;@TerSoilType_tab;@LocSpecialGeographicUnit_tab;@EraStratigraphicUnit_tab;@EraStructuralUnit_tab;@AquSubstrateType_tab;MulMultiMediaRef_tab.emultimedia.Multimedia=SummaryData;!EraDepthToMt;!LocElevationASLToMt;!LocElevationToMt;TerTopography;@LocContinent_tab;@LocTownship_tab;MapType;@MapUTM0;TerVegetation;TerSedimentType;AquBottomDescription##0#WorksheetA4.rpt#","","emu",2018-01-16,"21:18:02",2018-01-16,"21:18:02","emu","emu","","","",""
